order_id,customer_id,order_date
1,142,2025-01-01
2,140,2025-01-01
3,123,2025-01-01
4,181,2025-01-01
5,178,2025-01-01
6,199,2025-01-01
7,192,2025-01-01
8,148,2025-01-01
9,173,2025-01-01
10,161,2025-01-01
11,159,2025-01-01
12,75,2025-01-01
13,114,2025-01-01
14,47,2025-01-01
15,92,2025-01-01
16,183,2025-01-01
17,53,2025-01-01
18,195,2025-01-01
19,197,2025-01-01
20,115,2025-01-02
21,126,2025-01-02
22,36,2025-01-02
23,100,2025-01-02
24,153,2025-01-02
25,107,2025-01-02
26,166,2025-01-02
27,193,2025-01-02
28,119,2025-01-02
29,200,2025-01-02
30,93,2025-01-02
31,138,2025-01-02
32,142,2025-01-02
33,3,2025-01-02
34,170,2025-01-02
35,50,2025-01-02
36,157,2025-01-02
37,134,2025-01-02
38,30,2025-01-02
39,161,2025-01-03
40,129,2025-01-03
41,139,2025-01-03
42,143,2025-01-03
43,25,2025-01-03
44,120,2025-01-03
45,157,2025-01-03
46,110,2025-01-03
47,139,2025-01-03
48,132,2025-01-03
49,100,2025-01-03
50,147,2025-01-03
51,177,2025-01-03
52,148,2025-01-03
53,106,2025-01-03
54,69,2025-01-03
55,136,2025-01-03
56,140,2025-01-04
57,83,2025-01-04
58,153,2025-01-04
59,46,2025-01-04
60,109,2025-01-04
61,77,2025-01-04
62,32,2025-01-04
63,63,2025-01-04
64,50,2025-01-04
65,165,2025-01-04
66,157,2025-01-04
67,97,2025-01-04
68,32,2025-01-04
69,192,2025-01-04
70,73,2025-01-04
71,191,2025-01-04
72,53,2025-01-04
73,90,2025-01-04
74,115,2025-01-05
75,172,2025-01-05
76,102,2025-01-05
77,97,2025-01-05
78,70,2025-01-05
79,4,2025-01-05
80,44,2025-01-05
81,159,2025-01-05
82,59,2025-01-05
83,49,2025-01-05
84,185,2025-01-05
85,137,2025-01-05
86,55,2025-01-05
87,46,2025-01-05
88,45,2025-01-05
89,11,2025-01-05
90,73,2025-01-05
91,92,2025-01-05
92,133,2025-01-05
93,77,2025-01-05
94,75,2025-01-06
95,158,2025-01-06
96,141,2025-01-06
97,185,2025-01-06
98,36,2025-01-06
99,142,2025-01-06
100,151,2025-01-06
101,132,2025-01-06
102,57,2025-01-06
103,5,2025-01-06
104,191,2025-01-06
105,171,2025-01-06
106,80,2025-01-06
107,153,2025-01-06
108,166,2025-01-06
109,51,2025-01-06
110,53,2025-01-06
111,29,2025-01-06
112,147,2025-01-06
113,105,2025-01-06
114,100,2025-01-06
115,158,2025-01-07
116,91,2025-01-07
117,7,2025-01-07
118,183,2025-01-07
119,32,2025-01-07
120,94,2025-01-07
121,200,2025-01-07
122,63,2025-01-07
123,176,2025-01-07
124,177,2025-01-07
125,193,2025-01-07
126,115,2025-01-07
127,27,2025-01-07
128,124,2025-01-07
